lon,lat,northing,easting,cat,Sitio,Barangay,Municipality/City,Code,Province,Region,deployment status,data status,seminar status,MOU status,date recommended,2yr max rainfall
126.166477,9.009411,997099.8,188442.6,1,,Gamut,Tago,gam,Surigao del Sur,CARAGA,Done,online,Done,Done,,183.85792
125.400996,9.757176,1079500.9,763404.6,2,,Oslao,San Francisco,osl,Surigao del Norte,CARAGA,Done,online,Done,Done,,179.41723
125.12695,10.227355,1131317.9,732990.8,3,,Lipanto,St. Bernard,lip,Southern Leyte,VIII,Done,online,Done,Done,,129.65637
123.250916,10.182336,1125583,527483.9,4,,Humay-humay,Guihulnan City,hum,Negros Oriental,VII ,Done,online,Done,Done,,79.33232
123.244548,10.157525,1122839.2,526788.4,5,Mambog,Planas,Guihulnan City,pla,Negros Oriental,VII ,Done,online,Done,Done,,78.3201
122.3106782,10.8272781,1196966.7,424650.6,6,,Boloc,Tubungan,blc,Iloilo,VI ,Done,online,Done,Done,,130
125.127625,10.301661,1139539.4,733010.3,7,,Bolod-bolod,St. Bernard,bol,Southern Leyte,VIII,Done,online,Done,Done,,128.53688
120.5707669,16.44652966,1819886.5,240611.9,8,Longlong,Puguis,La Trinidad,pug,Benguet,CAR ,Done,online,Done,Done,,191.95794
120.6895137,16.48981427,1824529.3,253352.2,9,Mamuyod,Ambassador,Tublay,mam,Benguet,CAR ,Done,online,Done,Done,,208.5408
120.7048827,16.47045211,1822367.3,254969.2,10,Labey,Ambuklao,Bokod,lab,Benguet,CAR ,Done,online,Done,Done,,195.2146
120.7815269,16.72308485,1850239.9,263464.8,11,Sinipsip,Amgaleyguey,Buguias,sin,Benguet,CAR ,Done,online,Done,Done,,235.03159
120.4175215,16.6267828,1840046.1,224495.8,1,,Nagyubuyuban,San Fernando City,nag,La Union,I,Done,Offline-logging,Done,Done,2013,204.22436
120.2736,14.8577766,1644386.5,206602,2,,Baretto,Olongapo City,bar,Zambales,III,On-hold,for sensor deployment,Done,Done,2013,162.68789
120.8287809,16.9700429,1877520,268805.5,3,,Tue,Tadian,tue,Mt. Province,CAR,Done,Offline-logging,Done,Done,2013,192.06884
126.4519035,7.1376396,789742.5,218552.9,4,,Dadong,Tarragona,dad,Davao Oriental,XI,On-going,for sensor deployment,Done,Done,2014,132.60461
126.383391,7.8256388,865919.7,211433.4,5,,Sibahay,Boston,sib,Davao Oriental,XI,On-going,for sensor deployment,Done,Done,2014,137.50601
122.8317353,11.2832483,1247303.9,481635.9,6,,Agbatuan,Dumarao,agb,Capiz,VI,For scheduling,for sensor deployment,Done,Done,2014,122.4659
122.4679451,14.1873826,1568515.4,442589.1,7,,Bayabas,Labo,bay,Camarines Norte,V ,Done,Offline-logging,Done,Done,2014,188.80148
124.8789437,10.2581463,1134555.4,705794,8,Caianuhan,Lunas,Maasin City,lun,Southern Leyte,VIII,For scheduling,for sensor deployment,Done,Done,2013,121.09109
121.1047143,16.8093915,1859435.5,298026,9,,Cudog,Lagawe,cud,Ifugao,CAR,Done,Offline-logging,Done,Done,2013,154.63538
124.8599572,8.5453106,945077.5,704718.8,10,,Sumalsag,Malitbog,sum,Bukidnon,X ,Done,Offline-logging,Done,Done,2014,99.15316
125.0589503,7.5188978,831646.2,727200.2,11,upper,Magsaysay,Kibawe,mag,Bukidnon,X ,Done,Offline-logging,Done,Done,2014,108.67156
125.7400703,8.5867075,950237.6,801616.7,12,,McArthur,Esperanza,mac,Agusan del Sur,CARAGA,Done,Offline-logging,Done,Done,2014,161.4225
120.9247757,17.0826713,1889875.8,279163.3,13,,Antadao,Sagada,sag,Mt. Province,CAR,Done,Offline-logging,Done,Done,2014,168.96936
125.4,6.6,730169.7,765377.8,14,,Pitu,Malalag,pit,Davao del Sur,XI,Pending final recommendation,Pending final recommendation,Pending final recommendation,Pending final recommendation,2014,90
125.7188463,7.103312,786051.4,800342.9,15,,Kanaan,Samal Island,kan,Davao del Norte,XI,For scheduling,for sensor deployment,For scheduling,awaiting seminar,2014,124.14134
125.618668,7.625572,843781.3,788930,16,,Sto Nino,Talaingod,nin,Davao del Norte,XI,For scheduling,for sensor deployment,For scheduling,awaiting seminar,2014,116.20028
125.733333,7.75,857630.5,801502.7,17,,Monte Duali,San Isidro,mon,Davao del Norte,XI,Pending final recommendation,Pending final recommendation,Pending final recommendation,Pending final recommendation,2014,127.07869
125.9742165,9.71849,1075719,826376.6,18,,San Carlos,Dapa,car,Surigao del Norte,CARAGA,For scheduling,for sensor deployment,For scheduling,awaiting seminar,Q1 2015,166.15514
126.138702,9.269567,1025920.2,185614.9,19,,Nurcia,Lanuza ,nur,Surigao del Sur,CARAGA,For scheduling,for sensor deployment,For scheduling,awaiting seminar,Q1 2015,94.03284
122.434998,10.893,1204206,438253.9,20,,Inabasan,Maasin  ,ina,Iloilo,VI,For scheduling,for sensor deployment,For scheduling,awaiting seminar,Q1 2015,114.83752
122.433416,10.816948,1195796.9,438065.4,21,,Umingan,Alimodian,umi,Iloilo,VI,For scheduling,for sensor deployment,For scheduling,awaiting seminar,Q1 2015,113.42696
122.388022,10.782319,1191977.4,433095.4,22,,Pepe,Leon,pep,Iloilo,VI,For scheduling,for sensor deployment,For scheduling,awaiting seminar,Q1 2015,112.29736
122.3300171,10.8299339,1197255.7,426765.3,23,,Marirong,Leon,mar,Iloilo,VI,For scheduling,for sensor deployment,For scheduling,awaiting seminar,Q1 2015,115.31782
122.285495,13.953603,1542711.1,422822.8,24,,Pinagkamaligan,Calauag,pin,Quezon,IVB,For scheduling,for sensor deployment,For scheduling,awaiting seminar,Q1 2015,183.345
