agbtaw,122.4659
bakw,231.65729
banw,87.67909
barw,142.8744
batw,78.09877
baytcw,188.8015
blcsaw,116.677
blcw,116.677
bolw,130.1151
cartaw,166.1551
cudtaw,154.6354
dadtbw,161.7872
gaaw,90.77569
gamw,178.0139
hinw,135.40373
humw,87.6444
imew,146.22591
imuw,196.37569
inaw,114.8375
kanw,124.1413
labw,192.7488
layw,131.145
lipw,131.3316
lptw,139.1899
lunw,121.0911
magw,108.6716
mamw,208.2407
manw,83.0854
marw,115.3178
mcataw,161.4225
nagtbw,204.2244
ninw,116.2003
nurtbw,173.918
oslw,174.2768
panw,136.3768
parw,131.145
pepsbw,112.2974
pinw,183.345
plaw,85.6024
pobw,152.279
pugw,193.3929
sagtaw,168.9694
sibtaw,171.3558
sinw,229.2061
sumtbw,99.1532
tagw,130.0000
talw,126.2228
tamw,184.53962
tuetbw,192.0688
umiw,113.427
